LON,LAT,rating_date,score,WS2M,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ID
-65.738915,-27.365113,2021-04-01,0,1.47,21.68,27.53,16,0.08,76.06,15
-65.738915,-27.365113,2021-04-01,0,1.48,22.16,27.01,17.87,0,74.25,14
-65.738915,-27.365113,2021-04-01,0,1.88,21.65,26.51,17.83,0,81,13
-65.738915,-27.365113,2021-04-01,0,1.48,21.9,26.74,17.27,0,79.75,12
-65.738915,-27.365113,2021-04-01,0,1.66,22.93,28.31,18.6,0,76.25,11
-65.738915,-27.365113,2021-04-01,0,2.09,21.02,25.74,16.58,0,77.5,10
-65.738915,-27.365113,2021-04-01,0,1.81,21.9,27.51,16.62,0,77.75,9
-65.738915,-27.365113,2021-04-01,0,2.05,22.9,28.17,18.54,1.28,78,8
-65.738915,-27.365113,2021-04-01,0,2.24,18.48,21.07,16.37,2.27,89,7
-65.738915,-27.365113,2021-04-01,0,2.32,18.44,22.33,15.32,3.44,87.12,6
-65.738915,-27.365113,2021-04-01,0,2.89,18.89,21.49,16.87,21.05,91.56,5
-65.738915,-27.365113,2021-04-01,0,3.8,21.72,26.32,17.8,28.97,89.88,4
-65.738915,-27.365113,2021-04-01,0,2.33,22.27,28.26,17.54,0.36,82.06,3
-65.738915,-27.365113,2021-04-01,0,2.48,17.88,20.89,15.51,0.12,80.69,2
-65.738915,-27.365113,2021-04-01,0,4.26,15.8,18.85,13.35,2.06,88.69,1
-65.7388726,-27.3652267,2022-05-16,2,1.91,15.25,21.65,10.51,0,81.81,15
-65.7388726,-27.3652267,2022-05-16,2,1.83,16.23,22.6,10.56,0,80.31,14
-65.7388726,-27.3652267,2022-05-16,2,1.62,19.13,25.68,13,0,79,13
-65.7388726,-27.3652267,2022-05-16,2,1.74,18.81,23.68,15.4,0,85.31,12
-65.7388726,-27.3652267,2022-05-16,2,1.87,19.65,29.1,13.24,0,62.81,11
-65.7388726,-27.3652267,2022-05-16,2,2.03,16.69,22.77,11.62,0,83.06,10
-65.7388726,-27.3652267,2022-05-16,2,1.29,19.92,25.86,14.36,0,76.88,9
-65.7388726,-27.3652267,2022-05-16,2,1.91,22.13,29.4,17.09,0,59.5,8
-65.7388726,-27.3652267,2022-05-16,2,1.87,21.86,29.37,15.58,0,74.12,7
-65.7388726,-27.3652267,2022-05-16,2,1.98,18.95,23.14,12.33,0,56.31,6
-65.7388726,-27.3652267,2022-05-16,2,1.94,15.58,22.58,9.59,0.16,56.5,5
-65.7388726,-27.3652267,2022-05-16,2,1.88,11.69,17.83,6.49,0.25,72.38,4
-65.7388726,-27.3652267,2022-05-16,2,1.47,13.48,20.11,8.21,0,77.25,3
-65.7388726,-27.3652267,2022-05-16,2,1.86,13.99,18.73,10.26,0,77.62,2
-65.7388726,-27.3652267,2022-05-16,2,1.5,13.2,18.83,10.66,0,77.19,1
-65.54945694,-27.79636274,2022-05-16,1,1.98,14.07,19.84,8.81,0,78.44,15
-65.54945694,-27.79636274,2022-05-16,1,1.7,14.73,20.89,9.54,0,79.75,14
-65.54945694,-27.79636274,2022-05-16,1,1.25,18.62,26.4,11.98,0,74.75,13
-65.54945694,-27.79636274,2022-05-16,1,1.7,18.08,23.93,14.48,0,81.75,12
-65.54945694,-27.79636274,2022-05-16,1,1.88,18.32,28.26,11.47,0,63.75,11
-65.54945694,-27.79636274,2022-05-16,1,2.35,15.31,21.15,10.59,0,83.94,10
-65.54945694,-27.79636274,2022-05-16,1,1.54,18.53,26.56,11.98,0,80.19,9
-65.54945694,-27.79636274,2022-05-16,1,1.7,20.33,29.62,14.3,0,64.5,8
-65.54945694,-27.79636274,2022-05-16,1,1.73,20.75,28.08,14.47,0,75.75,7
-65.54945694,-27.79636274,2022-05-16,1,1.95,17.25,22.83,11.65,0,51.12,6
-65.54945694,-27.79636274,2022-05-16,1,1.84,14.39,23.14,7.98,0,54.75,5
-65.54945694,-27.79636274,2022-05-16,1,1.66,10.02,16.18,5.17,0.1,69.88,4
-65.54945694,-27.79636274,2022-05-16,1,1.68,11.9,18.46,6.16,0,74.75,3
-65.54945694,-27.79636274,2022-05-16,1,1.61,12.72,18.01,9.41,0,76.88,2
-65.54945694,-27.79636274,2022-05-16,1,1.16,12,17.97,9.33,0,74.31,1
-65.51385661,-27.8084939,2021-07-27,0,1.39,4.74,12.69,-0.13,0,62.25,15
-65.51385661,-27.8084939,2021-07-27,0,2.1,4.73,11.62,-0.47,0,66,14
-65.51385661,-27.8084939,2021-07-27,0,1.24,7.78,14.94,3.69,0,55.69,13
-65.51385661,-27.8084939,2021-07-27,0,1.7,8.89,16.54,3.38,0,55.56,12
-65.51385661,-27.8084939,2021-07-27,0,1.75,7.51,13.73,3.01,0,65.69,11
-65.51385661,-27.8084939,2021-07-27,0,1.45,8.56,15.19,3.05,0,74.25,10
-65.51385661,-27.8084939,2021-07-27,0,1.4,10.98,17.56,6.56,0,79.56,9
-65.51385661,-27.8084939,2021-07-27,0,1.43,11.81,17.89,7.65,0,82.62,8
-65.51385661,-27.8084939,2021-07-27,0,2.07,13.01,21.87,7.51,0,70.69,7
