LON,LAT,rating_date,score,PRECTOTCORR_mean_win_1,PRECTOTCORR_mean_win_2,PRECTOTCORR_mean_win_3,RH2M_mean_win_1,RH2M_mean_win_2,RH2M_mean_win_3,T2M_mean_win_1,T2M_mean_win_2,T2M_mean_win_3,T2M_MAX_mean_win_1,T2M_MAX_mean_win_2,T2M_MAX_mean_win_3,T2M_MIN_mean_win_1,T2M_MIN_mean_win_2,T2M_MIN_mean_win_3,WS2M_mean_win_1,WS2M_mean_win_2,WS2M_mean_win_3,QTD_DIAS_PRECIP_MAIOR_3MM_win_1,QTD_DIAS_PRECIP_MAIOR_3MM_win_2,QTD_DIAS_PRECIP_MAIOR_3MM_win_3,QTD_MM_ACUMUL_win_1,QTD_MM_ACUMUL_win_2,QTD_MM_ACUMUL_win_3,QTD_DIAS_UMIDREL_MAIOR_80_win_1,QTD_DIAS_UMIDREL_MAIOR_80_win_2,QTD_DIAS_UMIDREL_MAIOR_80_win_3
-65.738915,-27.365113,2021-04-01,0,10.512,1.398,0.016,86.576,81.874,77.462,19.312,20.548,22.064,23.162,24.964,27.22,16.214,16.686,17.514,3.152,2.102,1.594,2,1,0,52.56,6.99,0.08,5,2,1
-65.7388726,-27.3652267,2022-05-16,2,0.082,0,0,72.188,69.974,77.848,13.588,19.91,17.814,19.616,26.108,24.542,9.042,14.196,12.542,1.73,1.816,1.794,0,0,0,0.41,0,0,0,1,3
-65.54945694,-27.79636274,2022-05-16,1,0.02,0,0,70.114,71.1,75.688,12.206,18.434,16.764,18.752,25.648,23.864,7.61,12.598,11.256,1.59,1.854,1.702,0,0,0,0.1,0,0,0,2,1
-65.51385661,-27.8084939,2021-07-27,0,0,0,0,74.874,78.874,61.038,13.356,11.272,6.73,20.036,18.114,13.904,8.324,6.42,1.896,1.644,1.592,1.636,0,0,0,0,0,0,0,2,0
-65.47497865,-27.95158252,2020-06-19,1,0.15,0,0.056,70.738,53.298,49.788,7.606,13.622,10.894,14.762,21.168,19.34,2.732,7.964,4.956,1.802,1.602,1.938,0,0,0,0.75,0,0.28,1,0,0
-65.456499,-27.949685,2021-07-27,0,0,0,0,74.874,78.874,61.038,13.356,11.272,6.73,20.036,18.114,13.904,8.324,6.42,1.896,1.644,1.592,1.636,0,0,0,0,0,0,0,2,0
-65.44796339,-27.94527316,2022-05-16,2,0.02,0,0,70.114,71.1,75.688,12.206,18.434,16.764,18.752,25.648,23.864,7.61,12.598,11.256,1.59,1.854,1.702,0,0,0,0.1,0,0,0,2,1
-65.29932188,-27.84977625,2020-06-19,1,0.212,0,0.018,61.812,53.212,48.886,11.254,16.024,13.156,18.692,23.856,21.632,5.818,10.198,6.912,1.462,1.506,1.6,0,0,0,1.06,0,0.09,0,0,0
-65.1684312,-33.7498586,2020-03-10,1,0.244,4.004,0.014,50.176,59.81,61.574,19.118,21.888,24.004,27.294,30.188,31.934,12.008,14.724,17.252,0.888,0.886,0.838,0,2,0,1.22,20.02,0.07,0,0,0
-65.1402,-25.5501,2020-06-19,1,0.662,0.004,0.14,70.55,55.69,52.488,9.96,15.714,12.696,16.722,23.694,20.718,5.286,10.128,7.038,1.554,1.86,1.852,0,0,0,3.31,0.02,0.7,1,0,0
