LON,LAT,rating_date,score
-65.738915,-27.365113,2021-04-01,0
-65.7388726,-27.3652267,2022-05-16,2
-65.54945694,-27.79636274,2022-05-16,1
-65.51385661,-27.8084939,2021-07-27,0
-65.47497865,-27.95158252,2020-06-19,1
-65.456499,-27.949685,2021-07-27,0
-65.44796339,-27.94527316,2022-05-16,2
-65.29932188,-27.84977625,2020-06-19,1
-65.1684312,-33.7498586,2020-03-10,1
-65.1402,-25.5501,2020-06-19,1
-65.12532308,-25.95187401,2021-04-07,1
-65.088592,-25.926937,2022-06-09,1
-65.081003,-25.980183,2023-03-28,0
-65.081003,-25.980183,2023-05-02,0
-65.0579365,-34.2096133,2021-04-26,0
-65.0500522,-34.25090585,2022-05-11,0
-64.954769,-25.561878,2022-08-30,1
-64.91998556,-27.01482802,2022-06-09,0
-64.91883731,-27.01509347,2022-05-16,2
-64.906073,-27.013662,2023-03-28,0
-64.906073,-27.013662,2023-05-02,0
-64.85337139,-35.0511958,2021-07-28,1
-64.835358,-26.801957,2023-05-02,0
-64.83529537,-25.42318218,2020-06-19,1
-64.833498,-26.8002858,2022-05-16,1
-64.819447,-27.115357,2023-05-02,0
-64.81015793,-35.03887329,2022-05-24,0
-64.73237946,-27.11156678,2022-05-16,0
-64.72184979,-27.10060308,2020-06-19,1
-64.6873371,-27.2813234,2022-06-09,0
-64.6755411,-26.97923457,2020-06-19,1
-64.66772014,-26.97632021,2022-06-09,1
-64.64240327,-26.45712213,2022-08-29,0
-64.59995,-26.64916,2023-05-02,0
-64.57670005,-26.08512781,2020-06-19,1
-64.56893932,-26.12122183,2022-08-30,1
-64.56546581,-32.77078277,2020-03-10,2
-64.549188,-26.669364,2022-05-16,1
-64.4912746,-26.2559675,2022-08-30,1
-64.4895472,-35.2059501,2023-04-10,1
-64.47936422,-33.559293,2020-03-10,2
-64.4670747,-33.6301642,2022-02-02,4
-64.4564586,-32.88016891,2021-05-31,2
-64.4446205,-26.37602487,2020-06-19,1
-64.4444,-26.3606,2020-06-19,1
-64.44078709,-31.54494886,2022-02-16,4
-64.4374289,-25.0732815,2022-08-30,1
-64.4296707,-23.0404868,2022-07-01,1
-64.4268664,-26.37932407,2022-06-09,1
-64.41892451,-26.3265288,2021-04-09,0
-64.3921629,-33.6711747,2021-05-31,1
-64.3840154,-32.5546041,2023-02-13,0
-64.3837032,-32.55677747,2020-03-10,2
-64.3836999,-32.5574858,2022-05-11,1
-64.38228408,-32.55467302,2021-02-22,2
-64.37526378,-31.57341327,2023-03-21,0
-64.37181292,-26.74666397,2020-06-19,1
-64.32726407,-34.19025621,2022-05-11,1
-64.30624637,-32.80830216,2023-04-10,3
-64.29889298,-31.54943959,2021-03-25,2
-64.2712697,-24.6806792,2022-05-30,1
-64.2502302,-34.2057338,2023-02-02,0
-64.23416077,-34.19105781,2022-02-02,6
-64.2246754,-34.20197346,2023-04-18,0
-64.2122387,-34.19384899,2020-03-10,2
-64.21131507,-25.01869307,2020-06-19,1
-64.21082857,-25.01953711,2020-06-19,1
-64.20573044,-34.18760148,2021-02-22,0
-64.201236,-24.8782415,2022-06-09,1
-64.1955031,-35.6659321,2023-04-10,1
-64.1756185,-24.9339021,2022-05-16,1
-64.16824797,-32.62862264,2023-02-10,0
-64.1633846,-31.0062483,2021-03-29,1
-64.16140074,-32.67079968,2022-02-02,0
-64.1603253,-32.66575569,2023-03-31,0
-64.16026446,-32.6564521,2021-02-22,0
-64.12620948,-32.69103232,2020-02-04,2
-64.122994,-26.25535,2023-05-02,0
-64.12212,-31.5804,2020-03-19,2
-64.09569556,-25.97043509,2021-04-09,0
-64.0948655,-31.5685849,2022-03-31,0
-64.0948655,-31.5685849,2022-06-10,0
-64.09316002,-31.57000011,2023-03-21,0
-64.08571123,-32.12828612,2023-04-10,0
-64.08459212,-32.12021572,2022-05-11,2
-64.0831004,-31.30125874,2020-03-19,1
-64.0821591,-31.8159479,2021-03-25,2
-64.08094292,-30.77984541,2023-03-30,0
-64.07798,-30.77463,2022-03-31,2
-64.053705,-23.36341,2023-05-02,0
-64.016134,-26.0479279,2022-05-30,1
-63.986082,-32.860604,2023-03-10,0
-63.9607417,-32.9459795,2023-02-10,0
-63.9281953,-36.5137953,2023-04-10,1
-63.92231026,-24.6809314,2020-06-19,1
-63.9126451,-30.99300006,2021-03-29,1
-63.9106806,-30.99768698,2020-03-17,1
-63.90855838,-30.99817342,2022-02-21,1
-63.90855838,-30.99817342,2022-03-31,0
-63.90191075,-33.39321557,2021-05-11,0
-63.8509951,-30.945043,2022-02-21,1
-63.8509951,-30.945043,2022-03-31,2
-63.82740866,-31.74369157,2022-02-11,2
-63.82740866,-31.74369157,2022-03-16,2
-63.8210141,-36.4217349,2020-03-03,2
-63.81522693,-31.74648796,2023-03-30,0
-63.79173271,-34.34305739,2021-02-22,2
-63.78965042,-34.34300404,2023-02-10,0
-63.76551202,-34.34826578,2022-02-02,6
-63.74254607,-34.36755571,2021-04-26,1
-63.73736264,-34.35429587,2020-02-05,4
-63.7346038,-30.141967,2020-06-12,2
-63.72620078,-34.39671858,2022-05-11,0
-63.715251,-31.228958,2022-04-05,0
-63.6788832,-33.0382051,2023-02-13,0
-63.6788832,-33.0382051,2023-03-03,0
-63.6788832,-33.0382051,2023-03-13,0
-63.66871548,-33.03783711,2020-02-04,2
-63.665719,-33.02184821,2021-05-31,2
-63.6617849,-24.7552827,2022-08-30,0
-63.66063682,-33.00230161,2021-02-22,0
-63.644791,-32.0122987,2023-03-10,0
-63.628583,-32.002093,2022-02-16,1
