LAT,LON,ratingdate, dis_severity
-36.1538758,-62.5857026,2023-04-27, 2
-36.1530325,-62.5839364,2023-04-27, 1 
-35.7354225,-58.6101858,2022-02-13, 1
-33.97848397,-61.62679254,2023-02-27,0
-33.34934733,-62.16713504,2021-12-07,1
-33.24629839,-63.23101908,2022-01-05,1
-33.13162696,-58.75412964,2022-04-04,1
-33.11333132,-63.03930556,2021-12-15,1
-33.09239524,-62.08515215,2021-12-15,1
-33.08410187,-58.80229879,2021-11-30,2
-32.77131203,-62.5014616,2021-12-15,1
-32.55314748,-62.08006225,2022-01-04,2
-32.50364879,-61.49360871,2023-02-27,0
-32.42268299,-63.143872,2022-02-18,1
-32.418617,-60.3986,2021-12-02,2
-32.41625391,-58.89799788,2022-11-23,0
-32.270337,-61.850791,2021-12-13,2
-32.02724616,-61.27930817,2021-12-02,3
-32.002093,-63.628583,2022-02-16,1
-31.96742953,-61.2562864,2022-04-04,1
-31.96017027,-58.82916831,2021-11-29,1
-31.91576983,-61.85343746,2021-12-13,1
-31.85411315,-60.32205737,2021-11-26,3
-31.82438492,-63.6253387,2022-02-11,1
-31.74369157,-63.82740866,2022-02-11,2
-31.70924987,-63.26963,2021-12-15,0
-31.68345147,-61.79256097,2020-03-17,2
-31.63990982,-59.00082514,2022-04-04,1
-31.5587199,-61.02953233,2021-12-02,3
-31.54494886,-64.44078709,2022-02-16,4
-31.54492739,-60.76187143,2021-12-29,3
-31.056194,-58.359944,2021-11-26,2
-31.03061813,-60.72583163,2021-12-01,2
-30.945043,-63.8509951,2022-02-21,1
-27.013662,-64.906073,2023-03-28, 0
-25.980183,-65.081003,2023-03-28, 0


